time,P,G(i),H_sun,T2m,WS10m,Int
20180217:1630,1715.84,1021.53,31.8,-7.4,2.28,0
20180217:1730,1345.16,793.15,32.26,-5.76,1.66,0
20180217:1830,1017.46,595.16,29.62,-4.67,1.24,0
20180217:1930,472.58,275.87,24.25,-3.03,2.34,0
20180217:2030,273.24,161.38,16.82,-2.49,2.28,0
20180217:2130,177.1,104.38,7.93,-2.77,2,0
20180217:2230,0,0,-1.88,-3.68,2.21,0
20180217:2330,0,0,0,-4.38,2.28,0
20180218:0030,0,0,0,-4.6,2.28,0
20180218:0130,0,0,0,-4.61,2.34,0
20180218:0230,0,0,0,-4.34,2.62,0
20180218:0330,0,0,0,-3.99,2.97,0
20180218:0430,0,0,0,-3.75,3.1,0
20180218:0530,0,0,0,-3.72,3.1,0
20180218:0630,0,0,0,-3.93,2.76,0
20180218:0730,0,0,0,-4.61,2.21,0
20180218:0830,0,0,0,-5.13,2.21,0
20180218:0930,0,0,0,-5.44,2.48,0
20180218:1030,0,0,0,-5.73,2.69,0
20180218:1130,0,0,-4.62,-6.3,2.9,0
20180218:1230,837.48,471.31,5.4,-6.68,3.17,0
20180218:1330,1278.86,732.5,14.62,-6.38,3.31,0
20180218:1430,1608.3,943.29,22.57,-5.2,3.38,0
20180218:1530,1482.22,866.13,28.63,-3.55,3.93,0
20180218:1630,1491.52,876.58,32.15,-1.94,4.28,0
20180218:1730,1686.92,1005.88,32.61,-0.65,4.28,0
20180218:1830,1546.84,917.11,29.95,0.48,4.62,0
20180218:1930,1025.84,598.58,24.56,1.27,4.28,0
20180218:2030,779.48,453.47,17.1,1.44,3.72,0
20180218:2130,390.58,229.11,8.19,1.32,3.31,0
20180218:2230,0,0,-1.64,0.57,2.62,0
20180218:2330,0,0,0,-0.64,2.62,0
20180219:0030,0,0,0,-1.47,2.69,0
20180219:0130,0,0,0,-1.95,2.9,0
20180219:0230,0,0,0,-2.25,3.24,0
20180219:0330,0,0,0,-2.62,3.52,0
20180219:0430,0,0,0,-3.16,3.17,0
20180219:0530,0,0,0,-3.87,2.69,0
20180219:0630,0,0,0,-4.28,2.55,0
20180219:0730,0,0,0,-4.14,2.83,0
20180219:0830,0,0,0,-4.01,2.41,0
20180219:0930,0,0,0,-4.13,2.34,0
20180219:1030,0,0,0,-4.58,2.76,0
20180219:1130,0,0,-4.35,-4.75,2.76,0
20180219:1230,878.72,499.46,5.68,-4.73,2.9,0
20180219:1330,1499.36,875.72,14.92,-4.15,3.24,0
20180219:1430,1642.34,974.5,22.89,-2.19,3.59,0
20180219:1530,1723.26,1041.84,28.97,0.03,3.38,0
20180219:1630,1754.26,1075.86,32.5,1.99,3.17,0
20180219:1730,1698.08,1042.34,32.96,3.63,3.24,0
20180219:1830,1279.18,765.95,30.29,4.72,3.38,0
20180219:1930,1211.76,725.76,24.88,5.45,3.1,0
20180219:2030,461.36,276.8,17.38,5.63,2.97,0
20180219:2130,40.16,28.86,8.45,4.8,2.83,0
20180219:2230,0,0,-1.39,3.96,2.62,0
20180219:2330,0,0,0,3.16,2.83,0
20180220:0030,0,0,0,2.88,2.76,0
20180220:0130,0,0,0,2.72,2.14,0
20180220:0230,0,0,0,2.43,1.72,0
20180220:0330,0,0,0,2.14,1.86,0
20180220:0430,0,0,0,1.86,1.45,0
20180220:0530,0,0,0,1.53,1.17,0
20180220:0630,0,0,0,1.57,1.31,0
20180220:0730,0,0,0,1.55,1.66,0
20180220:0830,0,0,0,1.54,1.79,0
20180220:0930,0,0,0,1.47,2.21,0
20180220:1030,0,0,0,1.47,2.62,0
20180220:1130,0,0,0,1.49,2.55,0
20180220:1230,5.32,4.45,5.96,1.45,2.9,0
20180220:1330,16.36,12,15.22,1.45,3.03,0
20180220:1430,38.64,26.25,23.21,1.47,3.03,0
20180220:1530,60.44,39.81,29.32,1.57,2.83,0
20180220:1630,68.76,44.96,32.86,1.65,2.76,0
20180220:1730,86.56,55.87,33.32,1.73,2.41,0
20180220:1830,80.4,52.26,30.62,1.92,2.21,0
20180220:1930,50.3,33.88,25.19,2.12,1.86,0
20180220:2030,50.9,34.18,17.67,1.96,1.86,0
20180220:2130,15.5,11.6,8.72,1.94,1.72,0
20180220:2230,0,0,-1.14,1.76,2.07,0
20180220:2330,0,0,0,1.66,2.07,0
20180221:0030,0,0,0,1.63,1.93,0
20180221:0130,0,0,0,1.63,1.72,0
20180221:0230,0,0,0,1.57,1.52,0
20180221:0330,0,0,0,1.46,1.24,0
20180221:0430,0,0,0,1.46,1.17,0
20180221:0530,0,0,0,1.89,1.45,0
20180221:0630,0,0,0,3.23,2.07,0
20180221:0730,0,0,0,4.59,2.21,0
20180221:0830,0,0,0,5.04,1.72,0
20180221:0930,0,0,0,5.2,1.52,0
20180221:1030,0,0,0,5.39,2.62,0
20180221:1130,0,0,-3.81,7.01,3.24,0
20180221:1230,471.86,281.65,6.24,7.67,3.31,0
20180221:1330,193.64,122.38,15.52,7.8,3.31,0
20180221:1430,93.12,64.16,23.54,8.05,3.17,0
20180221:1530,109.5,74.26,29.66,7.96,2.9,0
20180221:1630,85.96,59.64,33.22,8.04,3.79,0
20180221:1730,79.34,55.07,33.68,7.49,4.62,0
20180221:1830,69.38,48.32,30.96,6.67,4.48,0
20180221:1930,229.52,143.06,25.5,6.42,5.17,0
20180221:2030,84.66,57.36,17.95,6.05,5.38,0
20180221:2130,254.78,154.09,8.98,5.21,5.17,0
20180221:2230,0,0,-0.9,4.05,4.14,0
20180221:2330,0,0,0,2.26,3.79,0
20180222:0030,0,0,0,0.73,3.86,0
20180222:0130,0,0,0,-0.7,3.79,0
20180222:0230,0,0,0,-2.05,3.66,0
20180222:0330,0,0,0,-3.36,3.45,0
20180222:0430,0,0,0,-4.63,3.03,0
20180222:0530,0,0,0,-5.74,2.83,0
20180222:0630,0,0,0,-6.74,2.83,0
20180222:0730,0,0,0,-6.21,2.41,0
20180222:0830,0,0,0,-6.81,2.21,0
20180222:0930,0,0,0,-7.53,2,0
20180222:1030,0,0,0,-8.31,1.93,0
20180222:1130,0,0,-3.53,-9.33,2,0
20180222:1230,296.4,165.05,6.53,-9.86,2.14,0
20180222:1330,255.64,144.94,15.83,-9.09,2,0
20180222:1430,434.8,249.35,23.86,-7.13,2,0
20180222:1530,482.44,278.86,30.01,-6.3,1.93,0
20180222:1630,446.32,259.73,33.58,-5.61,1.86,0
20180222:1730,432.9,252.98,34.04,-5.04,1.59,0
20180222:1830,482.22,282.54,31.31,-4.48,0.97,0
20180222:1930,390.44,228.85,25.81,-4.45,0.62,0
20180222:2030,531.36,308.58,18.24,-4.22,0.41,0
20180222:2130,469.84,271.47,9.24,-4,0.48,0
20180222:2230,0,0,-0.65,-4.3,0.55,0
20180222:2330,0,0,0,-7.19,1.17,0
20180223:0030,0,0,0,-7.21,1.24,0
20180223:0130,0,0,0,-8.17,1.45,0
20180223:0230,0,0,0,-8.31,1.38,0
20180223:0330,0,0,0,-7.89,1.24,0
20180223:0430,0,0,0,-7.62,0.83,0
20180223:0530,0,0,0,-8.13,0.9,0
20180223:0630,0,0,0,-9.17,1.31,0
20180223:0730,0,0,0,-9.56,1.24,0
20180223:0830,0,0,0,-9.27,1.03,0
20180223:0930,0,0,0,-10.84,1.45,0
20180223:1030,0,0,0,-13.03,1.86,0
20180223:1130,0,0,-3.25,-13.32,2.28,0
20180223:1230,228.36,124.74,6.82,-12.76,2.41,0
20180223:1330,505.42,282.01,16.14,-11,2.21,0
20180223:1430,879.58,499.98,24.2,-8.36,2.34,0
20180223:1530,724.04,416.57,30.37,-5.38,2.55,0
20180223:1630,553.74,322.58,33.95,-3.16,2.83,0
20180223:1730,409.84,242.44,34.4,-1.32,2.9,0
20180223:1830,587.74,343.2,31.65,0.06,2.83,0
20180223:1930,87.76,55.89,26.13,1.34,3.31,0
20180223:2030,39.2,26.27,18.53,0.83,4.14,0
20180223:2130,8.9,6.71,9.5,0.36,4.55,0
20180223:2230,0,0,-0.41,0.46,4.48,0
20180223:2330,0,0,0,0.77,3.93,0
20180224:0030,0,0,0,1.07,3.45,0
20180224:0130,0,0,0,1.38,3.1,0
20180224:0230,0,0,0,1.88,2.83,0
20180224:0330,0,0,0,2.5,3.17,0
20180224:0430,0,0,0,3.05,3.86,0
20180224:0530,0,0,0,3.54,4.76,0
20180224:0630,0,0,0,3.63,5.52,0
20180224:0730,0,0,0,2.93,5.45,0
20180224:0830,0,0,0,2.63,5.24,0
20180224:0930,0,0,0,2.31,5.03,0
20180224:1030,0,0,0,2.05,5.1,0
20180224:1130,0,0,-2.97,1.69,4.9,0
20180224:1230,163.72,99.16,7.12,1.26,4.55,0
20180224:1330,575.54,334.87,16.45,1.32,4.28,0
20180224:1430,795.34,464.54,24.53,1.81,3.86,0
20180224:1530,798.98,468.62,30.73,2.17,4.34,0
20180224:1630,595.64,351.38,34.32,2.4,4.28,0
20180224:1730,730.36,429.19,34.77,2.46,4,0
20180224:1830,926.86,545.28,31.99,2.68,4.14,0
20180224:1930,811.98,477.46,26.44,2.53,3.59,0
20180224:2030,933.1,548.68,18.81,2.47,2.97,0
20180224:2130,876.46,513.9,9.77,2.21,2.34,0
20180224:2230,0,0,-0.16,1.22,2,0
20180224:2330,0,0,0,-0.53,2,0
20180225:0030,0,0,0,-2.02,2.14,0
20180225:0130,0,0,0,-2.94,2.34,0
20180225:0230,0,0,0,-3.84,2.69,0
20180225:0330,0,0,0,-4.71,2.83,0
20180225:0430,0,0,0,-5.33,3.03,0
20180225:0530,0,0,0,-5.61,3.31,0
20180225:0630,0,0,0,-5.74,3.31,0
20180225:0730,0,0,0,-5.9,3.17,0
20180225:0830,0,0,0,-5.92,3.17,0
20180225:0930,0,0,0,-5.9,3.66,0
20180225:1030,0,0,0,-5.84,4.14,0
20180225:1130,0,0,-2.68,-5.59,4,0
20180225:1230,33.3,20.16,7.42,-5.12,4.07,0
20180225:1330,77.5,46.8,16.77,-3.91,4.21,0
20180225:1430,72.28,44.69,24.87,-2.18,4.48,0
20180225:1530,93.26,57.78,31.09,-1.09,5.03,0
20180225:1630,93.16,57.94,34.69,-0.71,5.72,0
20180225:1730,104.22,64.74,35.13,-0.27,6.34,0
20180225:1830,66.82,42.96,32.34,0.61,6.48,0
20180225:1930,128.2,79.69,26.76,1.58,6.76,0
20180225:2030,231.06,139.27,19.1,2.56,6.9,0
20180225:2130,176.92,107.8,10.03,3.25,6.76,0
20180225:2230,2.26,2.42,0.09,3.38,6.41,0
20180225:2330,0,0,0,3.1,6.07,0
20180226:0030,0,0,0,2.85,5.66,0
20180226:0130,0,0,0,2.62,5.17,0
20180226:0230,0,0,0,2.73,4.62,0
20180226:0330,0,0,0,2.83,4.14,0
20180226:0430,0,0,0,2.47,3.72,0
20180226:0530,0,0,0,1.64,3.59,0
20180226:0630,0,0,0,1.17,3.86,0
20180226:0730,0,0,0,1.13,4.41,0
20180226:0830,0,0,0,0.99,4.55,0
20180226:0930,0,0,0,0.85,4.83,0
20180226:1030,0,0,0,0.63,4.9,0
20180226:1130,0,0,-2.39,0.4,4.9,0
20180226:1230,1128.8,650.33,7.72,0.19,4.97,0
20180226:1330,1528.06,896.79,17.09,0.85,5.31,0
20180226:1430,1706.06,1015.9,25.22,1.97,5.52,0
20180226:1530,1711.12,1011.2,31.45,2.87,7.31,0
20180226:1630,1400.22,819.96,35.07,3.41,7.45,0
20180226:1730,1268.98,743.39,35.5,3.74,7.03,0
20180226:1830,1703.9,1016.08,32.69,4.03,6.9,0
20180226:1930,1523.3,902.61,27.08,4.03,6.34,0
20180226:2030,1341.86,790.36,19.38,3.89,5.59,0
20180226:2130,1212,710.14,10.29,3.49,4.83,0
20180226:2230,4.08,3.76,0.33,2.65,4.07,0
20180226:2330,0,0,0,1.17,3.31,0
20180227:0030,0,0,0,-0.1,2.9,0
20180227:0130,0,0,0,-1.11,2.76,0
20180227:0230,0,0,0,-1.91,2.9,0
20180227:0330,0,0,0,-2.36,3.03,0
20180227:0430,0,0,0,-2.41,3.31,0
20180227:0530,0,0,0,-2.48,3.52,0
20180227:0630,0,0,0,-2.69,3.52,0
20180227:0730,0,0,0,-2.89,3.38,0
20180227:0830,0,0,0,-3.07,3.45,0
20180227:0930,0,0,0,-3.15,3.31,0
20180227:1030,0,0,0,-3.32,2.76,0
20180227:1130,0,0,-2.09,-3.65,2.41,0
20180227:1230,1143.26,659.27,8.03,-4.05,2.41,0
20180227:1330,1521,903.01,17.42,-3.28,2.21,0
20180227:1430,1652.12,999.22,25.56,-1.17,2.41,0
20180227:1530,1719.26,1052.35,31.81,0.82,2.69,0
20180227:1630,1768.6,1093.22,35.44,2.51,2.9,0
20180227:1730,1675.82,1030.02,35.87,3.89,3.17,0
20180227:1830,1397.74,846.62,33.03,5.2,3.38,0
20180227:1930,1590.68,974.72,27.39,6.53,3.72,0
20180227:2030,1295.88,777.75,19.67,7.16,4.21,0
20180227:2130,781.98,462.31,10.55,6.94,4.07,0
20180227:2230,7.72,7.29,0.58,5.98,4.07,0
20180227:2330,0,0,0,5.01,4,0
20180228:0030,0,0,0,4.75,4.41,0
20180228:0130,0,0,0,4.88,5.1,0
20180228:0230,0,0,0,4.81,5.38,0
20180228:0330,0,0,0,4.5,5.24,0
20180228:0430,0,0,0,4.32,5.17,0
20180228:0530,0,0,0,3.7,4.83,0
20180228:0630,0,0,0,3.01,4.34,0
20180228:0730,0,0,0,2.38,3.72,0
20180228:0830,0,0,0,1.6,3.17,0
20180228:0930,0,0,0,0.95,2.69,0
20180228:1030,0,0,0,0.34,2.28,0
20180228:1130,0,0,-1.79,-0.28,1.72,0
20180228:1230,246.6,146.89,8.34,-0.25,0.9,0
20180228:1330,635.4,374.85,17.74,0.85,0.55,0
20180228:1430,1017.06,608.8,25.91,1.86,0.62,0
20180228:1530,1135.6,685.42,32.18,2.78,0.83,0
20180228:1630,708.9,425.46,35.82,3.51,0.97,0
20180228:1730,496.52,301.56,36.25,3.9,0.9,0
20180228:1830,1076.4,645.5,33.38,3.8,1.24,0
20180228:1930,723.18,432.02,27.71,6.57,2.97,0
20180228:2030,254.62,157.71,19.95,6.14,3.72,0
20180228:2130,337.24,201.1,10.81,4.49,4.14,0
20180228:2230,5,4.53,0.82,3.06,3.72,0
20180228:2330,0,0,0,2.17,3.24,0
20180301:0030,0,0,0,1.75,2.76,0
20180301:0130,0,0,0,1.43,2.41,0
20180301:0230,0,0,0,0.9,2.62,0
20180301:0330,0,0,0,0.54,2.83,0
20180301:0430,0,0,0,0.42,2.55,0
20180301:0530,0,0,0,0.45,2.21,0
20180301:0630,0,0,0,0.36,2,0
20180301:0730,0,0,0,-0.22,1.86,0
20180301:0830,0,0,0,-0.28,1.79,0
20180301:0930,0,0,0,-0.41,1.79,0
20180301:1030,0,0,0,-0.63,1.86,0
20180301:1130,0,0,-1.49,-0.99,1.93,0
20180301:1230,873.8,505.64,8.65,-1.44,1.86,0
20180301:1330,1105.44,649.13,18.07,-0.82,1.72,0
20180301:1430,1176.48,692.19,26.26,0.25,2.34,0
20180301:1530,1332.76,801.89,32.56,0.95,1.59,0
20180301:1630,1099.38,656.64,36.2,1.92,1.59,0
20180301:1730,1189.54,714.02,36.62,2.58,1.72,0
20180301:1830,1133.98,678.34,33.73,3.11,1.59,0
20180301:1930,868.3,514.7,28.02,3.15,1.79,0
20180301:2030,521.92,308.96,20.24,3.09,2.21,0
20180301:2130,700.16,408.9,11.07,2.7,3.1,0
20180301:2230,8.16,6.6,1.07,2.03,3.24,0
20180301:2330,0,0,0,0.74,3.17,0
20180302:0030,0,0,0,0.14,3.31,0
20180302:0130,0,0,0,-0.2,2.69,0
20180302:0230,0,0,0,-0.31,3.1,0
20180302:0330,0,0,0,-0.47,3.93,0
20180302:0430,0,0,0,-0.84,4.34,0
20180302:0530,0,0,0,-1.36,4.83,0
20180302:0630,0,0,0,-1.94,5.03,0
20180302:0730,0,0,0,-2.28,5.24,0
20180302:0830,0,0,0,-2.38,5.38,0
20180302:0930,0,0,0,-2.53,5.31,0
20180302:1030,0,0,0,-2.66,5.24,0
20180302:1130,0,0,-1.18,-2.75,5.31,0
20180302:1230,60.3,37.2,8.97,-2.72,5.31,0
20180302:1330,147.88,88.7,18.41,-2.32,5.24,0
20180302:1430,215,127.84,26.62,-1.76,5.72,0
20180302:1530,344.1,202.4,32.93,-1.15,6.48,0
20180302:1630,351.8,208.15,36.59,-0.31,6.34,0
20180302:1730,377.58,223.3,37,0.46,6.28,0
20180302:1830,250.04,150.86,34.08,1.17,6,0
20180302:1930,163.64,100.2,28.34,0.32,5.52,0
20180302:2030,96.98,61.01,20.52,0.53,4.55,0
20180302:2130,22.28,15.5,11.33,0.63,3.86,0
20180302:2230,2.32,2.07,1.31,0.48,4.21,0
20180302:2330,0,0,0,0.4,4.14,0
20180303:0030,0,0,0,0.46,3.93,0
20180303:0130,0,0,0,0.52,3.52,0
20180303:0230,0,0,0,0.41,3.03,0
20180303:0330,0,0,0,0.22,3.03,0
20180303:0430,0,0,0,-0.11,3.03,0
20180303:0530,0,0,0,-0.4,2.9,0
20180303:0630,0,0,0,-0.65,2.69,0
20180303:0730,0,0,0,-0.54,2.83,0
20180303:0830,0,0,0,-0.66,2.97,0
20180303:0930,0,0,0,-0.65,2.83,0
20180303:1030,0,0,0,-0.67,2.69,0
20180303:1130,0,0,-0.88,-0.59,2.76,0
20180303:1230,58.08,37.02,9.29,-0.42,2.76,0
20180303:1330,251.06,149.86,18.74,0.1,2.76,0
20180303:1430,523.72,307.36,26.97,1.12,2.76,0
20180303:1530,431.76,255.72,33.31,2.22,3.17,0
20180303:1630,445.08,265.76,36.97,2.72,3.31,0
20180303:1730,403.9,241.16,37.38,3.45,3.93,0
20180303:1830,311.24,188.62,34.43,3.68,3.66,0
20180303:1930,360.22,217.1,28.66,3.61,3.31,0
20180303:2030,246.92,151.46,20.81,4.14,3.24,0
20180303:2130,183.58,113.83,11.59,3.94,2.55,0
20180303:2230,5.46,4.94,1.55,3.31,2.14,0
20180303:2330,0,0,0,2.59,2.14,0
20180304:0030,0,0,0,2.09,2.21,0
20180304:0130,0,0,0,1.71,2.41,0
20180304:0230,0,0,0,1.47,2.55,0
20180304:0330,0,0,0,1,2.41,0
20180304:0430,0,0,0,0.57,2.28,0
20180304:0530,0,0,0,0.05,2.14,0
20180304:0630,0,0,0,-0.17,2.07,0
20180304:0730,0,0,0,-0.06,1.86,0
20180304:0830,0,0,0,-0.6,1.86,0
20180304:0930,0,0,0,-0.89,1.79,0
20180304:1030,0,0,0,-1.39,1.93,0
20180304:1130,0,0,-0.56,-1.71,1.86,0
20180304:1230,317,184.64,9.61,-1.49,1.59,0
20180304:1330,236.72,140.89,19.08,-0.61,1.45,0
20180304:1430,361.16,213.89,27.33,0.29,1.86,0
20180304:1530,430.58,255.15,33.68,1.08,2.76,0
20180304:1630,648.14,380.8,37.36,1.53,2.55,0
20180304:1730,373.7,225.31,37.75,2.07,2.28,0
20180304:1830,775.46,457.43,34.79,2.25,2.07,0
20180304:1930,535.78,316.45,28.97,2.59,2.28,0
20180304:2030,377.14,224.28,21.09,2.44,1.93,0
20180304:2130,422.36,249.22,11.85,2.02,1.79,0
20180304:2230,8.64,6.87,1.8,1.72,1.79,0
20180304:2330,0,0,0,0.71,2.41,0
20180305:0030,0,0,0,0.29,2.48,0
20180305:0130,0,0,0,0,2.48,0
20180305:0230,0,0,0,-0.03,2.55,0
20180305:0330,0,0,0,-0.15,2.83,0
20180305:0430,0,0,0,-0.55,2.97,0
20180305:0530,0,0,0,-0.62,2.97,0
20180305:0630,0,0,0,-0.84,2.9,0
20180305:0730,0,0,0,-0.63,2.97,0
20180305:0830,0,0,0,-0.61,3.03,0
20180305:0930,0,0,0,-0.63,3.24,0
20180305:1030,0,0,0,-0.73,3.24,0
20180305:1130,0,0,-0.25,-0.9,3.24,0
20180305:1230,224.9,133.05,9.93,-1,3.31,0
20180305:1330,634.8,368.36,19.42,-0.59,3.17,0
20180305:1430,547.24,318.88,27.69,0.2,4.97,0
20180305:1530,775.52,450.99,34.06,0.75,4.62,0
20180305:1630,737.06,431.19,37.75,1.43,4.48,0
20180305:1730,457.26,271.11,38.13,1.85,4.55,0
20180305:1830,423.26,252.3,35.14,1.89,4.14,0
20180305:1930,372.16,222.68,29.29,1.78,3.72,0
20180305:2030,189.52,116.87,21.38,1.97,3.59,0
20180305:2130,112.94,71.25,12.11,1.85,3.1,0
20180305:2230,10.32,8.03,2.04,1.66,2.55,0
20180305:2330,0,0,0,0.99,2,0
20180306:0030,0,0,0,0.52,1.79,0
20180306:0130,0,0,0,0.12,1.86,0
20180306:0230,0,0,0,-0.04,2.21,0
20180306:0330,0,0,0,-0.39,2.62,0
20180306:0430,0,0,0,-0.93,2.9,0
20180306:0530,0,0,0,-1.31,3.03,0
20180306:0630,0,0,0,-1.73,3.1,0
20180306:0730,0,0,0,-1.71,2.76,0
20180306:0830,0,0,0,-2.03,2.62,0
20180306:0930,0,0,0,-2.47,2.48,0
20180306:1030,0,0,0,-2.79,2.62,0
20180306:1130,4.7,3.26,0.07,-3.15,2.9,0
20180306:1230,977.74,559.73,10.26,-3.26,3.03,0
20180306:1330,1252.68,726.27,19.76,-2.19,3.38,0
20180306:1430,1338.54,780.59,28.05,-0.99,4.14,0
20180306:1530,1180.74,689.75,34.45,0.13,4.21,0
20180306:1630,839.08,490.72,38.14,0.94,4.34,0
20180306:1730,1000.44,586.27,38.51,1.46,4.48,0
20180306:1830,824.02,483.29,35.49,2.03,4.28,0
20180306:1930,602.54,355.29,29.61,2.13,3.66,0
20180306:2030,633.54,371.7,21.66,2.53,3.66,0
20180306:2130,728.7,425.34,12.36,2.8,3.24,0
20180306:2230,9.82,7.86,2.28,2.39,2.9,0
20180306:2330,0,0,0,1.04,3.38,0
20180307:0030,0,0,0,0.07,3.72,0
20180307:0130,0,0,0,-0.42,4.07,0
20180307:0230,0,0,0,-0.67,4.28,0
20180307:0330,0,0,0,-0.99,4,0
20180307:0430,0,0,0,-1.17,3.72,0
20180307:0530,0,0,0,-1.32,3.59,0
20180307:0630,0,0,0,-1.38,3.59,0
20180307:0730,0,0,0,-1.19,3.38,0
20180307:0830,0,0,0,-1.31,3.31,0
20180307:0930,0,0,0,-1.18,3.17,0
20180307:1030,0,0,0,-1.28,3.17,0
20180307:1130,5.1,3.78,0.38,-1.46,3.24,0
20180307:1230,106.5,64.95,10.59,-1.46,3.52,0
20180307:1330,226,134.91,20.11,-1.01,3.52,0
20180307:1430,483.14,282.34,28.42,-0.44,3.93,0
20180307:1530,589.24,345.21,34.83,0.17,4.55,0
20180307:1630,469.7,278.3,38.54,0.87,4.83,0
20180307:1730,439.58,261.5,38.9,1.04,4.69,0
20180307:1830,350.1,209.11,35.84,1.17,4.69,0
20180307:1930,326.94,195.26,29.92,0.69,4.69,0
20180307:2030,331.84,196.78,21.94,0.63,5.03,0
20180307:2130,568.34,328.94,12.62,0.58,4.76,0
20180307:2230,259.38,151.74,2.52,0.38,3.86,0
20180307:2330,0,0,0,-0.17,3.24,0
20180308:0030,0,0,0,-0.58,3.24,0
20180308:0130,0,0,0,-0.84,3.59,0
20180308:0230,0,0,0,-0.91,3.79,0
20180308:0330,0,0,0,-1.18,3.79,0
20180308:0430,0,0,0,-1.38,3.79,0
20180308:0530,0,0,0,-1.53,3.66,0
20180308:0630,0,0,0,-1.69,3.52,0
20180308:0730,0,0,0,-2.09,3.24,0
20180308:0830,0,0,0,-2.17,3.52,0
20180308:0930,0,0,0,-2.19,3.66,0
20180308:1030,0,0,0,-2.21,3.93,0
20180308:1130,5.38,3.85,0.7,-2.25,4.14,0
20180308:1230,77.32,47.52,10.92,-2.33,4.14,0
20180308:1330,168.54,100.89,20.45,-2.15,4.28,0
20180308:1430,364.1,213.29,28.79,-1.88,5.31,0
20180308:1530,333.92,197.5,35.22,-1.34,5.1,0
20180308:1630,286.2,170.47,38.93,-1.02,4.76,0
20180308:1730,278.26,166.04,39.28,-0.93,4.28,0
20180308:1830,169.72,103.1,36.2,-0.84,4.21,0
20180308:1930,153.86,93.71,30.24,-0.85,4.76,0
20180308:2030,103.7,64.13,22.22,-0.78,4.97,0
20180308:2130,67.78,42.41,12.88,-0.82,4.34,0
20180308:2230,41.42,26.16,2.76,-0.88,3.52,0
20180308:2330,0,0,0,-1.04,3.59,0
20180309:0030,0,0,0,-1.21,3.31,0
20180309:0130,0,0,0,-1.37,3.03,0
20180309:0230,0,0,0,-1.56,2.69,0
20180309:0330,0,0,0,-1.76,2.55,0
20180309:0430,0,0,0,-1.95,2.55,0
20180309:0530,0,0,0,-2.07,2.34,0
20180309:0630,0,0,0,-2.23,2.14,0
20180309:0730,0,0,0,-2.28,2,0
20180309:0830,0,0,0,-2.4,1.72,0
20180309:0930,0,0,0,-2.49,1.52,0
20180309:1030,0,0,0,-2.62,1.45,0
20180309:1130,10.72,7.18,1.03,-2.9,1.45,0
20180309:1230,279.04,162.51,11.25,-3.22,1.45,0
20180309:1330,555.86,322.19,20.8,-2.74,1.38,0
20180309:1430,748.32,438.77,29.16,-1.4,1.24,0
20180309:1530,944.46,556.61,35.61,-0.4,1.79,0
20180309:1630,1019.42,602.27,39.33,0.48,2,0
20180309:1730,947.06,561.79,39.66,1.11,1.79,0
20180309:1830,1087.72,650.45,36.55,1.42,1.31,0
20180309:1930,1102.22,658.04,30.55,1.65,1.38,0
20180309:2030,835.14,494.06,22.5,1.62,1.1,0
20180309:2130,656.12,386.37,13.13,1.59,0.97,0
20180309:2230,354.98,209.04,3,1.27,0.83,0
20180309:2330,0,0,0,0.67,1.52,0
20180310:0030,0,0,0,-1.08,2,0
20180310:0130,0,0,0,-2.22,2.14,0
20180310:0230,0,0,0,-2.97,2.28,0
20180310:0330,0,0,0,-3.46,2.48,0
20180310:0430,0,0,0,-4.03,2.62,0
20180310:0530,0,0,0,-4.55,2.76,0
20180310:0630,0,0,0,-5.01,2.9,0
20180310:0730,0,0,0,-5.17,3.03,0
20180310:0830,0,0,0,-5.24,3.24,0
20180310:0930,0,0,0,-5.41,3.38,0
20180310:1030,0,0,0,-5.39,3.59,0
20180310:1130,14.5,8.88,1.35,-5.52,3.79,0
20180310:1230,669.4,378.34,11.58,-5.49,3.72,0
20180310:1330,881.36,501.78,21.15,-4.76,4.21,0
20180310:1430,1178.86,679.38,29.53,-3.42,4.41,0
20180310:1530,1350.48,786.9,35.99,-1.7,4.62,0
20180310:1630,1272.28,743.11,39.72,0,4.9,0
20180310:1730,684.4,400.15,40.05,1.42,5.45,0
20180310:1830,504.08,297.86,36.9,2,5.24,0
20180310:1930,457.48,269.7,30.87,2.21,5.03,0
20180310:2030,526.74,308.19,22.78,2.16,4.55,0
20180310:2130,128,80.01,13.39,2.06,4.14,0
20180310:2230,19.64,13.99,3.24,1.41,3.93,0
20180310:2330,0,0,0,0.88,3.79,0
20180311:0030,0,0,0,0.43,3.66,0
20180311:0130,0,0,0,0.29,3.66,0
20180311:0230,0,0,0,0.13,3.66,0
20180311:0330,0,0,0,-0.08,3.52,0
20180311:0430,0,0,0,-0.43,3.52,0
20180311:0530,0,0,0,-0.76,3.59,0
20180311:0630,0,0,0,-1.27,3.59,0
20180311:0730,0,0,0,-1.62,3.38,0
20180311:0830,0,0,0,-1.6,3.31,0
20180311:0930,0,0,0,-1.74,3.31,0
20180311:1030,0,0,0,-1.95,3.24,0
20180311:1130,13.5,9.09,1.68,-2.22,3.17,0
20180311:1230,384.92,222.52,11.92,-2.44,3.17,0
20180311:1330,578.82,334.07,21.5,-1.81,3.24,0
20180311:1430,935.98,542.24,29.9,-1.15,3.45,0
20180311:1530,1014.66,592.76,36.38,-0.04,3.59,0
20180311:1630,827.72,483.26,40.12,0.96,3.52,0
